conceptID:ID,concept_name,:LABEL
1000140,智能穿戴,CONCEPT
1000040,新零售,CONCEPT
1000047,上海自贸,CONCEPT
1000050,生物育种,CONCEPT
1000042,雄安新区,CONCEPT
1000019,金融改革,CONCEPT
1000059,装饰园林,CONCEPT
1000087,安防服务,CONCEPT
1000074,券商重仓,CONCEPT
1000083,准ST股,CONCEPT
1000053,迪士尼,CONCEPT
1000152,5G概念,CONCEPT
1000067,草甘膦,CONCEPT
1000012,天津自贸,CONCEPT
1000141,可燃冰,CONCEPT
1000060,黄金概念,CONCEPT
1000136,智能机器,CONCEPT
1000027,信托重仓,CONCEPT
1000008,碳纤维,CONCEPT
1000127,信息安全,CONCEPT
1000156,IP变现,CONCEPT
1000103,高校背景,CONCEPT
1000016,含B股,CONCEPT
1000111,电商概念,CONCEPT
1000135,股期概念,CONCEPT
1000160,深圳本地,CONCEPT
1000139,丝绸之路,CONCEPT
1000005,IPV6概念,CONCEPT
1000070,建筑节能,CONCEPT
1000025,次新股,CONCEPT
1000024,生态农业,CONCEPT
1000142,智能家居,CONCEPT
1000149,送转潜力,CONCEPT
1000020,本月解禁,CONCEPT
1000066,油气改革,CONCEPT
1000022,固废处理,CONCEPT
1000017,空气治理,CONCEPT
1000044,含H股,CONCEPT
1000014,资产注入,CONCEPT
1000013,基因测序,CONCEPT
1000102,基因芯片,CONCEPT
1000038,宽带提速,CONCEPT
1000117,婴童概念,CONCEPT
1000035,文化振兴,CONCEPT
1000004,锂电池,CONCEPT
1000034,沿海发展,CONCEPT
1000061,太阳能,CONCEPT
1000144,物联网,CONCEPT
1000131,免疫治疗,CONCEPT
1000118,生物燃料,CONCEPT
1000006,前海概念,CONCEPT
1000086,基金重仓,CONCEPT
1000071,阿里概念,CONCEPT
1000153,维生素,CONCEPT
1000030,融资融券,CONCEPT
1000021,粤港澳,CONCEPT
1000095,低碳经济,CONCEPT
1000148,含可转债,CONCEPT
1000089,央企50,CONCEPT
1000080,超大盘,CONCEPT
1000057,未股改,CONCEPT
1000039,4G概念,CONCEPT
1000058,水域改革,CONCEPT
1000104,触摸屏,CONCEPT
1000113,循环经济,CONCEPT
1000003,食品安全,CONCEPT
1000000,外资背景,CONCEPT
1000028,特斯拉,CONCEPT
1000018,整体上市,CONCEPT
1000076,电子支付,CONCEPT
1000146,民营银行,CONCEPT
1000081,云计算,CONCEPT
1000137,超导概念,CONCEPT
1000147,民营医院,CONCEPT
1000097,成渝特区,CONCEPT
1000128,图们江,CONCEPT
1000029,内贸规划,CONCEPT
1000099,污水处理,CONCEPT
1000159,博彩概念,CONCEPT
1000116,业绩预升,CONCEPT
1000002,三沙概念,CONCEPT
1000121,苹果概念,CONCEPT
1000043,重组概念,CONCEPT
1000001,核电核能,CONCEPT
1000049,稀土永磁,CONCEPT
1000051,参股金融,CONCEPT
1000079,智能电网,CONCEPT
1000063,保障房,CONCEPT
1000158,保险重仓,CONCEPT
1000082,基因概念,CONCEPT
1000106,海水淡化,CONCEPT
1000154,蓝宝石,CONCEPT
1000078,节能环保,CONCEPT
1000162,摘帽概念,CONCEPT
1000010,聚氨酯,CONCEPT
1000011,多晶硅,CONCEPT
1000145,国企改革,CONCEPT
1000114,军民融合,CONCEPT
1000093,互联金融,CONCEPT
1000085,抗癌,CONCEPT
1000090,海上丝路,CONCEPT
1000119,金融参股,CONCEPT
1000130,汽车电子,CONCEPT
1000023,分拆上市,CONCEPT
1000150,奢侈品,CONCEPT
1000041,燃料电池,CONCEPT
1000129,国产软件,CONCEPT
1000124,风能概念,CONCEPT
1000069,东亚自贸,CONCEPT
1000125,体育概念,CONCEPT
1000031,绿色照明,CONCEPT
1000068,地热能,CONCEPT
1000132,风沙治理,CONCEPT
1000151,长株潭,CONCEPT
1000046,广东自贸,CONCEPT
1000037,稀缺资源,CONCEPT
1000112,海工装备,CONCEPT
1000101,石墨烯,CONCEPT
1000026,风能,CONCEPT
1000075,页岩气,CONCEPT
1000092,铁路基建,CONCEPT
1000110,甲型流感,CONCEPT
1000155,海峡西岸,CONCEPT
1000052,养老概念,CONCEPT
1000100,猪肉,CONCEPT
1000122,土地流转,CONCEPT
1000072,新三板,CONCEPT
1000036,QFII重仓,CONCEPT
1000088,抗流感,CONCEPT
1000062,上海本地,CONCEPT
1000109,节能,CONCEPT
1000157,业绩预降,CONCEPT
1000064,京津冀,CONCEPT
1000120,涉矿概念,CONCEPT
1000015,皖江区域,CONCEPT
1000094,机器人概念,CONCEPT
1000054,3D打印,CONCEPT
1000123,农村金融,CONCEPT
1000084,自贸区,CONCEPT
1000073,三网融合,CONCEPT
1000115,股权激励,CONCEPT
1000007,O2O模式,CONCEPT
1000009,日韩贸易,CONCEPT
1000055,社保重仓,CONCEPT
1000126,黄河三角,CONCEPT
1000045,生物疫苗,CONCEPT
1000065,出口退税,CONCEPT
1000048,卫星导航,CONCEPT
1000032,网络游戏,CONCEPT
1000143,振兴沈阳,CONCEPT
1000091,ST板块,CONCEPT
1000133,创投概念,CONCEPT
1000056,陕甘宁,CONCEPT
1000107,武汉规划,CONCEPT
1000077,充电桩,CONCEPT
1000108,水利建设,CONCEPT
1000098,生物质能,CONCEPT
1000161,新能源,CONCEPT
1000105,赛马概念,CONCEPT
1000033,军工航天,CONCEPT
1000134,智能交通,CONCEPT
1000138,超级细菌,CONCEPT
1000096,氢燃料,CONCEPT
